analysis,tokenizer,reason
Ten-epoch trajectory (n=33),siglip2_g16_384,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Primary two-Qwen average (n=38),siglip2_sm16_512,ImageNet linear probe missing
Ten-epoch trajectory (n=33),siglip2_sm16_512,ImageNet probing was not run / is entirely missing
Qwen3 maximum coverage (n=44),siglip2_sm16_512,ImageNet linear probe missing
Ten-epoch trajectory (n=33),siglip2_g16_256,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Ten-epoch trajectory (n=33),mc2_g14_378,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Primary two-Qwen average (n=38),siglip2_l16_512,ImageNet linear probe missing
Ten-epoch trajectory (n=33),siglip2_l16_512,ImageNet probing was not run / is entirely missing
Qwen3 maximum coverage (n=44),siglip2_l16_512,ImageNet linear probe missing
Ten-epoch trajectory (n=33),mc2_b16_384,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Ten-epoch trajectory (n=33),mc2_l14_224,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Ten-epoch trajectory (n=33),mc2_b16_224,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Ten-epoch trajectory (n=33),mc2_b32_384,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Ten-epoch trajectory (n=33),mc2_b32_224,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Ten-epoch trajectory (n=33),mc2_b32_224_mt5,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Primary two-Qwen average (n=38),unitok_attn,Qwen2.5 MLLM result missing; raw main-table Avg is not a fair two-backbone average
Primary two-Qwen average (n=38),vilau_256,Qwen2.5 MLLM result missing; raw main-table Avg is not a fair two-backbone average
Primary two-Qwen average (n=38),toklip_s_256,Qwen2.5 MLLM result missing; raw main-table Avg is not a fair two-backbone average
Primary two-Qwen average (n=38),toklip_l_384,Qwen2.5 MLLM result missing; raw main-table Avg is not a fair two-backbone average
Primary two-Qwen average (n=38),I-JEPA,Qwen2.5 MLLM result missing; raw main-table Avg is not a fair two-backbone average
Ten-epoch trajectory (n=33),I-JEPA,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Primary two-Qwen average (n=38),raev2,Qwen2.5 MLLM result missing; raw main-table Avg is not a fair two-backbone average
Ten-epoch trajectory (n=33),raev2,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Primary two-Qwen average (n=38),dinov3,Both Qwen3 and Qwen2.5 MLLM results missing
Ten-epoch trajectory (n=33),dinov3,"Final probing exists, but Epochs 1-9 are absent from the epoch Markdown"
Qwen3 maximum coverage (n=44),dinov3,Qwen3 MLLM result missing
Qwen3 ScienceQA maximum coverage (n=43),I-JEPA,"Conservative exclusion: Qwen3 task mean (35.09) conflicts with reported Avg (36.56), and ScienceQA duplicates VQAv2 at 47.08"
