name,text_domain,metric_name,value,d,n_tokens,N,K
I-JEPA,answer_all_types,VSA,0.265488496109,1280,256,4618,512
I-JEPA,answer_all_types,cm_cka,0.0102445718186,1280,256,4618,512
I-JEPA,answer_all_types,cm_r2,-1.11426565286,1280,256,4618,512
I-JEPA,answer_all_types,mutual_kNN_k10,0.00896491987874,1280,256,4618,512
I-JEPA,answer_all_types,mutual_kNN_k20,0.0104590731919,1280,256,4618,512
I-JEPA,answer_all_types,mutual_kNN_k5,0.00835859679515,1280,256,4618,512
I-JEPA,answer_other,VSA,0.584876168435,1280,256,4618,512
I-JEPA,answer_other,cm_cka,0.0238185145606,1280,256,4618,512
I-JEPA,answer_other,cm_r2,-1.07598399714,1280,256,4618,512
I-JEPA,answer_other,mutual_kNN_k10,0.0174967518406,1280,256,4618,512
I-JEPA,answer_other,mutual_kNN_k20,0.0216543958424,1280,256,4618,512
I-JEPA,answer_other,mutual_kNN_k5,0.0155478562148,1280,256,4618,512
I-JEPA,caption,VSA,0.899898485641,1280,256,4618,512
I-JEPA,caption,VSA_abtt1,0.902994449247,1280,256,4618,512
I-JEPA,caption,VSA_abtt2,0.903437146555,1280,256,4618,512
I-JEPA,caption,VSA_abtt3,0.914293164443,1280,256,4618,512
I-JEPA,caption,cm_cka,0.214553709282,1280,256,4618,512
I-JEPA,caption,cm_r2,-0.617547413161,1280,256,4618,512
I-JEPA,caption,mutual_kNN_k10,0.0753789519272,1280,256,4618,512
I-JEPA,caption,mutual_kNN_k20,0.0866933737549,1280,256,4618,512
I-JEPA,caption,mutual_kNN_k5,0.0662624512776,1280,256,4618,512
I-JEPA,qa_concat,VSA,0.679037481442,1280,256,4618,512
I-JEPA,qa_concat,cm_cka,0.0811279111322,1280,256,4618,512
I-JEPA,qa_concat,cm_r2,-0.933899111375,1280,256,4618,512
I-JEPA,qa_concat,mutual_kNN_k10,0.021697704634,1280,256,4618,512
I-JEPA,qa_concat,mutual_kNN_k20,0.0258336942399,1280,256,4618,512
I-JEPA,qa_concat,mutual_kNN_k5,0.0189692507579,1280,256,4618,512
I-JEPA,question_other,VSA,0.598526712508,1280,256,4618,512
I-JEPA,question_other,cm_cka,0.0676021517291,1280,256,4618,512
I-JEPA,question_other,cm_r2,-0.988632308458,1280,256,4618,512
I-JEPA,question_other,mutual_kNN_k10,0.0182113469034,1280,256,4618,512
I-JEPA,question_other,mutual_kNN_k20,0.0219575573841,1280,256,4618,512
I-JEPA,question_other,mutual_kNN_k5,0.0149848419229,1280,256,4618,512
clip_openai__l14,answer_all_types,VSA,0.327371927959,1024,256,4618,512
clip_openai__l14,answer_all_types,cm_cka,0.00906174025336,1024,256,4618,512
clip_openai__l14,answer_all_types,cm_r2,-0.61198422743,1024,256,4618,512
clip_openai__l14,answer_all_types,mutual_kNN_k10,0.0106539627544,1024,256,4618,512
clip_openai__l14,answer_all_types,mutual_kNN_k20,0.0117366825466,1024,256,4618,512
clip_openai__l14,answer_all_types,mutual_kNN_k5,0.0099177132958,1024,256,4618,512
clip_openai__l14,answer_other,VSA,0.570914668175,1024,256,4618,512
clip_openai__l14,answer_other,cm_cka,0.022369775223,1024,256,4618,512
